word,translation
perfekt,perfect
"dünn","thin, slim, smallest"
Polnisch,Polish
Türkisch,Turkish
"toll","great, awesome, terrific"
"einfach","easy, simple"
"sein","your, to be, be"
nicht,not
Französisch,French
"Ihr","she, your, her"
"schwer","difficult, hard, tough"
Schwedisch,Swedish
Sprachen,languages
welche,which
"nur","only, just, merely"
"sprichst","are speaking, speak, talk"
"schnell","quickly, rapidly"
Spanisch,Spanish
"lerne","learn, am meeting, study"
"lernst","learn, study, are studying"
Russisch,Russian
"viele","many, a lot of, lots of"
"Muttersprache","mother tongue, native language, first language"
"lernt","learns, is studying, learn"
"spricht","speaks, does speak, speak"
warum,why
"frühstückst","are eating breakfast, eat breakfast"
"machst","work, are doing, are taking"
heute Morgen,this morning
"so","that, as, so"
"joggst","jog, are jogging"
"frühstücke","eat breakfast, am eating breakfast"
"surfst","surf, go surfing"
"surfe","surf, go surfing"
Tag,day
"jeden","any, all, each"
"joggt","jogs, is jogging"
"Urlaub","vacation, a vacation, holidays"
Volleyball,volleyball
"Fußball","soccer, football"
Morgen,morning
"frühstückt","are eating breakfast, eats breakfast, is eating breakfast"
Basketball,basketball
"jogge","am jogging, jog, jogging"
"surft","goes surfing, is surfing, surfs"
"fotografiere","take photos, take pictures"
"singe","sing, am singing"
"singt","sings, sing, is singing"
"gern","like, liked to, happy to"
"singst","sing, are singing"
"spielen","playing, are playing, will play"
"joggen","to jog, jogging"
"Freunde","friends, friends'"
am Wochenende,on the weekend
"möchtest","would like to, like, would like"
"möchte","would like to, would like"
"gehen","go, walk, leave"
Schwimmbad,swimming pool
Geld,money
"ins","this, to the, that"
"schwimmen","swim, to float"
Zeit,time
Samstag,Saturday
Sonntag,Sunday
heute Abend,"this evening, tonight"
"am","by the, the, a"
"Konzert","concert, concerto, show"
"Spiel","game, match, play"
"schade","harm, too bad"
"um","for, to, of"
heute Nachmittag,this afternoon
"wann","when, what time, at what time"
"Eintrittskarte","admission ticket, [admission/entry/entrance] [ticket/pass/card]"
geöffnet,open
"bis","until, till, 'til"
modern,modern
"Tisch","table, desk"
Stuhl,chair
"haben","have, do have, have had"
"hässlich","ugly, hideous, unsightly"
"brauchst","need, use"
"mag","like, likes, disliked"
"den","her, the, that"
"Teppich","carpet, rug"
wir,we
"brauchen","need, do need"
"bequem","comfortable, comfortably"
"Schrank","closet, cabinet, cupboard"
magst,like
Schlafzimmer,bedroom
Couch,couch
Schreibtisch,desk
wer,who
"Wohnung","apartment, flat"
"sauber","clean, tidy, neat"
"Lampe","lamp, light"
"hell","bright, light"
dunkel,dark
"Bücherregal","bookcase, bookshelf"
"Badezimmer","bathroom, restroom, washroom"
Bett,bed
"fantastisch","fantastic, great, terrific"
Montag,Monday
Dienstag,Tuesday
für,for
"Kaufhaus","department store, store"
"nervös","nervous, on edge, flustered"
"Jobinterview","job interview, interview"
"gehe","am going, walking, go"
"kaufen","buy, to get, to purchase"
"Bluse","blouse, shirt, top"
"aufgeregt","excited, eager, jumpy"
"muss","needs to, has to, has got to"
"musst","have got to, have to, need to"
"suche","am looking for, look for, seek"
"Sakko","suit jacket, jacket, sport coat"
Kleid,dress
Hemd,shirt
T-shirt,T-shirt
Größe,size
S,small
L,large
"passt","fit, is suitable, fits"
"Jeans","jeans, pair of jeans"
"schick","stylish, fashionable, chic"
"Pullover","sweater, jumper"
"Aufzug","elevator, lift"
Schuhe,shoes
"Toiletten","toilets, bathrooms, restrooms"
Fahrkarten,tickets
"zwanzig","twenty, 20"
Fahrkarte,ticket
"Hin- und Rückfahrt","round-trip ticket, round trip, return ticket"
"kosten","is, try, were"
"dreißig","thirty, 30"
"nach","for, about, to"
"genau","exactly, precisely"
Zug,train
"Uhr","watch, clock, o'clock"
Minuten,minutes
halb,half
spät,late
Abfahrt,departure
"es gibt","there are, there is, there's"
"Achtung","careful, attention, watch out"
Verspätung,delay
"auf","on to, on top of, onto"
"ICE","intercity express, ICE"
"Gleis","track, platform"
"zahlen","pay, to pay, are paying"
stornieren,cancel
"Reisezentrum","travel center, travel centre"
Kreditkarte,credit card
"können","are able to, knew, can"
"fällt","fall, is falling, cases"
"hinten","in the back, at the back, in the rear"
"nächste","next, closest"
Station,station
"Sitz","seat, place, chair"
"Speisewagen","dining car, diner car"
Zugtür,train door
"frei","free, available"
keinen Hunger,not hungry
italienisch,Italian
"Hunger","hunger, hungry"
essen,eat
"später","later, later on"
griechisch,Greek
"lieber","kind, prefers, prefer"
"Apfelschorle","sparkling apple juice, carbonated apple juice, apple juice spritzer"
trinken,drink
Rotwein,red wine
"Glas","glass, jar"
"mich","myself, me, I"
"möchten","would like to, would like"
"trinke","drink, am drinking"
Suppe,soup
"esse","am eating, am having, have"
bestellen,order
Fleisch,meat
guten Appetit,enjoy your meal
"Nachtisch","dessert, sweet"
"Apfelkuchen","apple cake, apple pie"
"Eis","ice cream, ice"
ohne,without
Zucker,sugar
"süß","sweet, cute"
Obstsalat,fruit salad
getrennt,separately
"fünfundzwanzig","twenty-five, 25"
"fünfunddreißig","thirty-five, 35"
zusammen,together
"bar","cash, in cash"
Kunstmuseum,art museum
Zoo,zoo
sehen,see
Stadtzentrum,city center
Fluss,river
Stadtmuseum,city museum
besuchen,visit
geradeaus,straight ahead
dann,then
circa,approximately
"fünfzehn","fifteen, 15"
Bus,bus
"fahren","are riding, are departing, run"
zwölf,twelve
Nummer,number
"elf","eleven, 11"
Bushaltestelle,bus stop
"dreizehn","thirteen, 13"
"warten","have been, are waiting, hold on"
"Taxifahrt","taxi ride, cab ride"
"zu Fuß","by foot, on foot"
"vierzehn","fourteen, 14"
"dauert","lasts, takes, does last"
wie lange,how long
"alles Gute","take care, all the best, take"
bis zum Hotel,to the hotel
Adresse,address
wiederholen,repeat
"Straße","street, road"
Taxi,taxi
April,April
März,March
ersten,first
morgen,tomorrow
Geburtstag,birthday
"mache","am turning, am making, work"
Mai,May
Party,party
"zweiten","second, 2nd"
dritten,third
"vierten","fourth, 4th"
zehnten,tenth
siebten,seventh
"kannst","can, are able to, could"
Juli,July
"kann","am able to, know, can"
Picknick,picnic
auf jeden Fall,definitely
"ihr","she, her, to her"
Einladung,invitation
"möchtet","want, would like to, like"
"macht","is, comes to, is making"
"feiern","celebrate, are celebrating, celebrating"
"feiert","celebrate, celebrates, is celebrating"
"Geschenk","gift, present"
"könnt","can, are able to, know"
"zu Hause","at home, home"
"tanze","dance, am dancing"
"surfen","surf, surfing"
Hobbys,hobbies
tanzen,dance
Gitarre,guitar
"tanzt","is dancing, are dancing, dances"
Instrument,instrument
Tennis,tennis
"Film","movie, film"
"Geige","violin, fiddle"
"höre","listening, to listen to, hear"
"willst","want, want to"
Videospiele,video games
Jazz,jazz
"hört","hears, hear, listens to"
"will","wants, wants to, want"
Podcasts,podcasts
"campe","am camping, go camping, camp"
Hexe,witch
"Wald","forest, wood, woods"
Woche,week
"wollt","want, wish, will"
grillen,grill
"lernen","learn, studies, study"
Pläne,plans
"schon","already, yet"
Mittwoch,Wednesday
"leider","unfortunately, sadly, regrettably"
"Lust","desire, in the mood"
arbeiten,work
krank,sick
"Durst","thirst, thirsty"
"nachts","at night, at nighttime"
"traurig","sad, unhappy"
"müde","tired, sleepy, weary"
viel,much
"schlafe","sleep, am asleep, am sleeping"
trink,drink
Krankenhaus,hospital
"Kopfschmerzen","headache, headaches"
iss,eat
"geh","go, leave"
"Tablette","pill, tablet"
"Termin","appointment, date, deadline"
sechzehn,sixteen
"machen","go on, makes, offered"
wie viel Uhr,what time
siebzehn,seventeen
Name,name
"bleiben","stay, being, stopped"
"müssen","have got to, have to, need to"
"Bauchschmerzen","stomachache, tummyache"
Fieber,fever
schlafen,sleep
im Bett,in bed
Zahnschmerzen,toothache
"mehr","more, anymore, left"
"gesund","healthy, fit, well"
"hurra","hooray, woohoo, yippie"
"gute Besserung","feel better, get well"
glücklich,happy
"studieren","study, are studying, have studied"
neunzehn,nineteen
"Jahre","years, years'"
Psychologie,psychology
achtzehn,eighteen
Geschichte,history
Mädchen,girl
Monate,months
Baby,baby
"Kind","child, kid"
intelligent,intelligent
lustig,funny
"fast","almost, nearly"
"arbeitet","work, works, are working"
Zürich,Zurich
Amerikaner,American
"arbeitest","work, are working, working"
Deutscher,German
Amerikanerin,American
"Deutsche","German, a German, Germans"
"ihre","her, hers, theirs"
Eltern,parents
"seine","your, her, his"
"seid","did, have, be"
"lebt","live, is living, are living"
"Kanadier","Canadians, Canadian"
freundlich,friendly
"Studenten","students, student"
Kanadierin,Canadian
"lieben","loves, love, loved"
"wollen","want, want to, won't"
zum Oktoberfest,to Oktoberfest
Spaß,fun
"beliebt","popular, well-liked"
Oktoberfest,Oktoberfest
"endet","finishes, ends, finish"
"beginnt","begin, is starting, start"
Oktober,October
achtzehnten,eighteenth
September,September
neunzehnten,nineteenth
"sehe","am watching, see, watch"
Weißbier,wheat beer
Riesenrad,Ferris wheel
Wiesn-Herz,heart cookie
"dich","you, yourself"
uns,us
"hören","hear, listen to, listen"
schmecken,taste
Band,band
Musik,music
"Handy","cell phone, mobile phone, mobile"
"Pommes","fries, french fries, chips"
Leute,people
"vor","to, in front of, of"
bis morgen,see you tomorrow
Viertel,quarter
gute Nacht,good night
noch,still
früh,early
